,geometry,NAME,OBJECTID,County,Sm20,Med20,Lg20,Sm50,Med50,Lg50,Ctot50,Htot0,CGentotC50,CGentotH0,Clg50,Hlg50,CGenlgC50,CGenlgH0,Ctot20,Htot0.1,CGentotC20,CGentotH0.1,Clg20,Hlg20,CGenlgC20,CGenlgH0.1
15,"POLYGON ((-13636458.36227416 5039324.407576088, -13519363.4869308 5039444.081306288, -13506594.13746036 5039503.543695182, -13505414.14578378 4995939.846196629, -13506153.3001785 4930875.208725441, -13525056.35455147 4930907.972490939, -13545989.32025363 4932009.492197017, -13582127.75093816 4928124.284128629, -13615534.28906522 4920012.467593401, -13638864.18655603 4923316.81168304, -13653366.33436921 4913814.196615972, -13664314.05191867 4919227.859309728, -13699582.07435132 4907732.917489197, -13684647.56309215 4930902.981593233, -13658134.82081973 4950697.995176276, -13664694.2132467 4966707.137113503, -13655545.53220804 4979000.757904277, -13647607.2301401 5008780.517679796, -13639728.59263028 5014465.920067058, -13636458.36227416 5039324.407576088))",Shasta,45,Shasta,0.0,0.0,0.0,31.0,14.0,0.0,22236846.6667,149992200.723,4499.26424219,23005.6977071,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,"POLYGON ((-13586754.36245443 4413991.77541303, -13541349.69650399 4424342.163943634, -13505136.12141267 4384930.510326872, -13506250.20640314 4377224.363838415, -13474201.31739884 4345291.740954448, -13454518.91480135 4340866.016175548, -13443108.21893748 4328670.623464007, -13433879.72109835 4337467.35262784, -13430562.62060912 4315491.499419221, -13393413.51734216 4287858.489152004, -13382160.33827153 4271665.35455322, -13518437.34631133 4272678.030903067, -13541814.89043803 4300431.741554273, -13555452.97910622 4322937.878160778, -13576421.12297689 4340199.914736606, -13585738.01272486 4383030.622908642, -13581104.4501384 4390115.049777264, -13586754.36245443 4413991.77541303))",Monterey,27,Monterey,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,"POLYGON ((-13737749.6518058 5038920.460803302, -13719596.88936863 5023852.300125701, -13704441.29500929 5023474.557430575, -13696396.3443402 5012940.994756709, -13680840.33704905 5042036.129123677, -13671297.58361589 5042249.923085296, -13646747.84943377 5060533.58920855, -13637112.7009187 5061838.147864209, -13636458.36227416 5039324.407576088, -13639728.59263028 5014465.920067058, -13647607.2301401 5008780.517679796, -13655545.53220804 4979000.757904277, -13664694.2132467 4966707.137113503, -13658134.82081973 4950697.995176276, -13684647.56309215 4930902.981593233, -13699582.07435132 4907732.917489197, -13691076.03889975 4902360.273643858, -13684953.23911912 4862765.582166824, -13752919.36418017 4862603.454015221, -13752907.67601769 4866222.459201084, -13752828.76224366 4973923.06282763, -13760852.45256102 4999675.713169982, -13742165.1360879 5004050.269577248, -13737749.6518058 5038920.460803302))",Trinity,53,Trinity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,"POLYGON ((-13818634.16373876 4866301.943241055, -13752907.67601769 4866222.459201084, -13752919.36418017 4862603.454015221, -13684953.23911912 4862765.582166824, -13685358.55068876 4836654.799403296, -13679536.31453045 4805111.749112385, -13699332.15004266 4794058.756621971, -13700660.52430146 4780238.773726215, -13693713.73926047 4755560.887694304, -13702653.027269 4731990.064546071, -13690811.63626216 4721283.109059578, -13686606.54049642 4707389.719322719, -13672438.57214279 4700228.804645067, -13701315.4089418 4700557.281312077, -13707466.4790161 4694369.411120488, -13733308.30066283 4694012.84405109, -13762708.11570771 4687083.884207104, -13779648.60884721 4706461.137177729, -13777120.43363812 4727559.924212948, -13791716.65167893 4770131.351007088, -13785211.58813062 4800647.731128314, -13787720.06378608 4818782.270954043, -13796782.36432541 4839087.496167929, -13818634.16373876 4866301.943241055))",Mendocino,23,Mendocino,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,"POLYGON ((-13175841.5501252 4403591.606411155, -13175868.82506932 4423470.602538258, -13191706.47678399 4452388.410794117, -13208570.26983213 4458894.702847402, -13221975.48037895 4503849.037002112, -13117080.44229112 4504112.290942895, -13024481.41553825 4417899.2328484, -12873917.53585098 4274401.471614623, -12883661.77775397 4272261.548713958, -13094846.57753306 4272759.862929421, -13136596.62563467 4271649.592127972, -13133750.18691113 4286293.216036825, -13149905.76891208 4339266.413872797, -13146846.15272838 4345962.457628179, -13163410.94281273 4367776.724473302, -13175841.5501252 4403591.606411155))",Inyo,14,Inyo,0.0,0.0,0.0,5.0,10.0,1.0,19098027.619,128820207.064,6382.97206514,20893.8824782,6362794.28571,42918383.7064,3662.64917804,7660.75191239,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,"POLYGON ((-13318176.80940847 4625707.203627563, -13307811.51827002 4650210.122490997, -13315934.94953198 4665039.319660123, -13312191.38725785 4680675.258745921, -13215205.81512985 4593860.624983623, -13117080.44229112 4504112.290942895, -13221975.48037895 4503849.037002112, -13249510.25121415 4521069.235837282, -13260859.16572177 4541909.630930124, -13276963.42522513 4542653.69935962, -13269293.95816742 4563126.900686273, -13281350.52972697 4571917.280654391, -13285965.39309205 4591521.215520125, -13311196.07208565 4601722.762312036, -13318176.80940847 4625707.203627563))",Mono,26,Mono,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,"POLYGON ((-13360561.26856928 4640850.847492005, -13345510.64730066 4629866.459497716, -13330897.95881467 4638469.068348121, -13318176.80940847 4625707.203627563, -13311196.07208565 4601722.762312036, -13285965.39309205 4591521.215520125, -13281350.52972697 4571917.280654391, -13269293.95816742 4563126.900686273, -13276963.42522513 4542653.69935962, -13281417.98719374 4548110.709133714, -13306465.32360842 4565721.738385979, -13321293.52618345 4551384.087056275, -13336688.45713842 4545524.054932117, -13361300.64460388 4552885.044477306, -13396794.20091357 4540620.783284239, -13401489.21135337 4527809.637202757, -13431062.4658158 4555700.85768317, -13415664.53033534 4572844.193734486, -13378000.80464585 4632326.185370509, -13360561.26856928 4640850.847492005))",Tuolumne,55,Tuolumne,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,"POLYGON ((-13592476.54073534 4652201.369851476, -13574331.906532 4655052.251198824, -13547043.26488492 4653596.834432563, -13546917.13706102 4624001.102279449, -13535702.69849217 4623750.408407102, -13538167.31082907 4607108.813569934, -13549133.72803642 4591376.365940019, -13565668.68220301 4588758.549517388, -13594779.95757787 4584473.361404612, -13619657.75293971 4589780.872748423, -13626262.56304978 4601435.488341716, -13604742.05320814 4601331.01413969, -13603909.16280469 4624122.686787585, -13588190.51437233 4624150.922337844, -13595048.91076697 4640196.71063479, -13592476.54073534 4652201.369851476))",Solano,48,Solano,0.0,0.0,0.0,1.0,2.0,1.0,8909840.95238,60098748.3779,4206.71375546,10307.3780256,6362794.28571,42918383.7064,3662.64917804,7660.75191239,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,"POLYGON ((-13098664.38152429 4139789.889440008, -13094736.91789585 4139755.175520124, -13094846.57753306 4272759.862929421, -12883661.77775397 4272261.548713958, -12873917.53585098 4274401.471614623, -12760936.57284531 4164122.793595391, -12760362.60811131 4145360.500804392, -12742923.73729868 4124943.159710351, -12728230.33858056 4089581.686034615, -12705816.71017426 4069592.134012562, -12718714.07629377 4052167.784679103, -12738894.96704645 4039513.126626291, -12836926.93609284 4039259.909740532, -12836943.29966977 4033383.759940986, -13016540.1867594 4033384.150826077, -13049470.05604399 4029381.96469838, -13086532.77393674 4033295.220256845, -13099383.16272903 4011471.596992963, -13111576.87986195 4021609.254030657, -13096335.79495059 4067697.560798217, -13098664.38152429 4139789.889440008))",San Bernardino,36,San Bernardino,1.0,0.0,0.0,18.0,0.0,0.0,3305640.0,22297236.0169,518.109150183,3359.48618622,0.0,0.0,0.0,0.0,183646.666667,1238735.33427,28.7838416769,186.638121457,0.0,0.0,0.0,0.0
24,"POLYGON ((-13622588.57044651 4563013.750876091, -13629100.87355285 4569517.734834305, -13619657.75293971 4589780.872748423, -13594779.95757787 4584473.361404612, -13565668.68220301 4588758.549517388, -13551794.04087281 4583189.130806924, -13534227.60078349 4592772.655411419, -13531657.67501005 4553637.633859077, -13576612.27585389 4539754.12632214, -13596625.4093614 4551858.85661374, -13610370.69816281 4565842.052174387, -13622588.57044651 4563013.750876091))",Contra Costa,7,Contra Costa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
